Company,Sector,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Dividend yield (annual),Full time employees,Analysts' mean recommendation (1=Buy 5=Sell),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Annual EPS growth past 5 years,Annual sales growth past 5 years,Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Operating Margin (ttm),Shares outstanding,Volume,Performance (Year),Beta,Average True Range (14),Volatility (Month),Current stock price
A,Technology,41050000000.0,1320000000.0,6930000000.0,18.95,0.0064,18300.0,1.9,2.1,0.53,0.49,0.148,0.089,0.125,0.25,0.169,0.241,296000000.0,312065,0.0932,1.04,3.27,2.09%,141.37
AAL,Industrials,10650000000.0,127000000.0,48970000000.0,-8.91,,129700.0,3.0,0.7,,,-0.461,0.028,0.002,-0.016,0.052,0.033,650950000.0,7890314,0.2107,1.56,0.48,2.73%,16.36
AAP,Consumer Cyclical,7880000000.0,501900000.0,11150000000.0,45.06,0.0454,40000.0,2.7,1.1,0.51,0.44,0.131,0.035,0.042,0.181,0.138,0.063,59440000.0,454142,-0.3412,1.15,3.7,2.39%,132.14
AAPL,Technology,2336710000000.0,95170000000.0,387540000000.0,3.57,0.006,164000.0,2.0,0.9,1.96,1.76,0.216,0.115,0.275,1.635,0.583,0.294,15890000000.0,22342699,-0.0224,1.29,3.3,1.86%,153.91
ABBV,Healthcare,261850000000.0,11780000000.0,58050000000.0,9.74,0.0396,50000.0,2.4,1.0,3.67,3.43,0.133,0.155,0.083,0.734,0.205,0.312,1770000000.0,1706632,0.0143,0.55,2.8,1.86%,149.25
ABC,Healthcare,30470000000.0,1730000000.0,241810000000.0,-0.87,0.0128,39000.0,2.1,0.9,,,0.374,0.093,0.03,,0.345,0.01,204030000.0,492848,0.0409,0.52,3.04,1.91%,150.31
ABT,Healthcare,169740000000.0,6930000000.0,43650000000.0,21.04,0.0205,115000.0,2.0,1.6,0.46,0.4,0.305,0.098,0.094,0.192,0.13,0.192,1740000000.0,1709907,-0.1406,0.67,2.0,1.99%,99.78
ACN,Technology,171050000000.0,7050000000.0,62380000000.0,36.46,0.017,721000.0,2.1,1.3,0.0,0.0,0.145,0.112,0.153,0.324,0.319,0.151,658390000.0,585642,-0.1191,1.24,5.37,1.70%,265.69
ADBE,Technology,153470000000.0,4760000000.0,17610000000.0,30.09,,29239.0,2.2,1.1,0.29,0.26,0.245,0.192,0.179,0.339,0.267,0.346,467000000.0,1466964,-0.198,1.28,9.68,2.43%,346.09
ADI,Technology,93540000000.0,3430000000.0,12580000000.0,72.04,0.0184,24450.0,2.0,2.1,0.0,0.18,0.181,0.18,0.068,0.094,0.068,0.322,507120000.0,1150758,0.2582,1.15,3.99,2.04%,186.87
ADM,Consumer Defensive,43530000000.0,4340000000.0,101560000000.0,43.91,0.0225,42000.0,2.2,1.5,0.38,0.32,0.294,0.108,0.071,0.18,0.098,0.041,553000000.0,774159,-0.0438,0.8,1.47,1.75%,79.49
ADP,Technology,91070000000.0,3150000000.0,17250000000.0,7.21,0.0225,60000.0,3.0,1.0,1.0,1.0,0.12,0.059,0.053,0.969,0.471,0.237,414300000.0,398554,0.0826,0.82,3.74,1.61%,222.35
ADSK,Technology,42780000000.0,823000000.0,5000000000.0,4.19,,12600.0,2.1,0.7,2.9,2.52,0.234,0.166,0.066,0.702,0.158,0.158,216000000.0,373095,0.0511,1.53,6.76,2.75%,205.96
AEE,Utilities,21430000000.0,1070000000.0,7960000000.0,40.57,0.0303,9244.0,2.2,0.8,1.44,1.3,0.083,0.052,0.029,0.106,0.052,0.19,259000000.0,278405,-0.0403,0.44,1.58,1.82%,84.21
AEP,Utilities,45320000000.0,2310000000.0,19640000000.0,46.59,0.0372,16974.0,2.3,0.6,1.67,1.41,0.033,0.049,0.025,0.096,0.054,0.177,513880000.0,734734,-0.0473,0.45,1.8,1.98%,90.74
